,Labels,Decoded
0,size_title_0,size_title_38
1,size_title_1,size_title_38 cm
2,size_title_2,"size_title_38,5"
3,size_title_3,size_title_39
4,size_title_4,size_title_40
5,size_title_5,size_title_40 cm
6,size_title_6,"size_title_40,5"
7,size_title_7,size_title_41
8,size_title_8,"size_title_41,5"
9,size_title_9,size_title_42
10,size_title_10,"size_title_42,5"
11,size_title_11,size_title_43
12,size_title_12,"size_title_43,5"
13,size_title_13,size_title_44
14,size_title_14,size_title_44 cm
15,size_title_15,"size_title_44,5"
16,size_title_16,size_title_45
17,size_title_17,"size_title_45,5"
18,size_title_18,size_title_46
19,size_title_19,"size_title_46,5"
20,size_title_20,size_title_47
21,size_title_21,"size_title_47,5"
22,size_title_22,size_title_48
23,size_title_23,size_title_4XL
24,size_title_24,size_title_4XL / 48 / 20
25,size_title_25,size_title_5XL / 50 / 22
26,size_title_26,size_title_6XL
27,size_title_27,size_title_L
28,size_title_28,size_title_L / 40 / 12
29,size_title_29,size_title_M
30,size_title_30,size_title_M / 38 / 10
31,size_title_31,size_title_Outro
32,size_title_32,size_title_S
33,size_title_33,size_title_S / 36 / 8
34,size_title_34,size_title_Tamanho único
35,size_title_35,size_title_XL
36,size_title_36,size_title_XL / 42 / 14
37,size_title_37,size_title_XS
38,size_title_38,size_title_XS / 34 / 6
39,size_title_39,size_title_XXL
40,size_title_40,size_title_XXL / 44 / 16
41,size_title_41,size_title_XXS / 32 / 4
42,size_title_42,size_title_XXXL / 46 / 18
43,status_0,status
44,brand_title_0,brand_title_
45,brand_title_1,brand_title_& Other Stories
46,brand_title_2,brand_title_123
47,brand_title_3,brand_title_4205
48,brand_title_4,brand_title_55 Stage
49,brand_title_5,brand_title_AZARA PARIS
50,brand_title_6,brand_title_Afibel
51,brand_title_7,brand_title_Aigle
52,brand_title_8,brand_title_Air Force
53,brand_title_9,brand_title_Alberto Guardiani
54,brand_title_10,brand_title_Alliance
55,brand_title_11,brand_title_Alpinestars
56,brand_title_12,brand_title_Alvaro Moreno
57,brand_title_13,brand_title_Amazon
58,brand_title_14,brand_title_American People
59,brand_title_15,brand_title_American Vintage
60,brand_title_16,brand_title_Ami Paris
61,brand_title_17,brand_title_Amisu
62,brand_title_18,brand_title_Amy & Ivy
63,brand_title_19,brand_title_Anine Bing
64,brand_title_20,brand_title_Anna Studio
65,brand_title_21,brand_title_Antony Morato
66,brand_title_22,brand_title_Armand Thiery
67,brand_title_23,brand_title_Asics
68,brand_title_24,brand_title_Atlas for Women
69,brand_title_25,brand_title_Basic Street
70,brand_title_26,brand_title_Bear
71,brand_title_27,brand_title_Beat Wear
72,brand_title_28,brand_title_Belozero
73,brand_title_29,brand_title_Bershka
74,brand_title_30,brand_title_Beverly
75,brand_title_31,brand_title_Birkenstock
76,brand_title_32,brand_title_Bizzbee
77,brand_title_33,brand_title_Blanc du Nil
78,brand_title_34,brand_title_Blundstone
79,brand_title_35,brand_title_Bobbies
80,brand_title_36,brand_title_Boss
81,brand_title_37,brand_title_Bragard
82,brand_title_38,brand_title_Brandy Melville
83,brand_title_39,brand_title_Brice
