,Labels,Decoded
0,0,size_title_
1,1,size_title_38
2,2,"size_title_38,5"
3,3,size_title_39
4,4,size_title_39 cm
5,5,"size_title_39,5"
6,6,size_title_40
7,7,size_title_40 cm
8,8,"size_title_40,5"
9,9,size_title_41
10,10,size_title_41 cm
11,11,"size_title_41,5"
12,12,size_title_42
13,13,"size_title_42,5"
14,14,size_title_43
15,15,"size_title_43,5"
16,16,size_title_44
17,17,size_title_44 cm
18,18,"size_title_44,5"
19,19,size_title_45
20,20,"size_title_45,5"
21,21,size_title_46
22,22,size_title_46 cm
23,23,"size_title_46,5"
24,24,size_title_47
25,25,"size_title_47,5"
26,26,size_title_48
27,27,size_title_48 cm
28,28,size_title_49
29,29,size_title_4XL
30,30,size_title_4XL / 48 / 20
31,31,size_title_51
32,32,size_title_5XL
33,33,size_title_5XL / 50 / 22
34,34,size_title_6XL
35,35,size_title_6XL / 52 / 24
36,36,size_title_7XL / 54 / 26
37,37,size_title_L
38,38,size_title_M
39,39,size_title_Outro
40,40,size_title_S
41,41,size_title_Tamanhonico
42,42,size_title_XL
43,43,size_title_XS
44,44,size_title_XXL
45,45,size_title_XXS
46,46,size_title_XXXL
47,47,status
48,48,brand_title_
49,49,brand_title_032c
50,50,brand_title_123
51,51,brand_title_2-Bizzy
52,52,brand_title_ACROPOLE
53,53,brand_title_AMI
54,54,brand_title_AMOUR
55,55,brand_title_ARKET
56,56,brand_title_ASOS
57,57,brand_title_ASOS Design
58,58,brand_title_Abercrombie & Fitch
59,59,brand_title_Abricot
60,60,brand_title_Acquasparta
61,61,brand_title_Action
62,62,brand_title_Adax
63,63,brand_title_Adenauer & Co
64,64,brand_title_Adieu Paris
65,65,brand_title_Adriano Jacometti
66,66,brand_title_Affliction
67,67,brand_title_Aimé Leon Dore
68,68,brand_title_Air Force
69,69,brand_title_Airness
70,70,brand_title_Akoz
71,71,brand_title_Alexander McQueen
72,72,brand_title_Alfonso home
73,73,brand_title_Alkis Exclusive
74,74,brand_title_AllStar
75,75,brand_title_American College
76,76,brand_title_Ami Paris
77,77,brand_title_Amisu
78,78,brand_title_Angarde
79,79,brand_title_Anine Bing
80,80,brand_title_Anna Field
81,81,brand_title_Antonio Miró
82,82,brand_title_Antony Morato
83,83,brand_title_Arc'teryx
84,84,brand_title_Armand Thierry
85,85,brand_title_Armand Thiery
86,86,brand_title_Armani
87,87,brand_title_Armani Jeans
88,88,brand_title_Armor-Lux
89,89,brand_title_Asics
90,90,brand_title_Aston Villa
91,91,brand_title_Athl
92,92,brand_title_Atlas
93,93,brand_title_Atlas for Men
94,94,brand_title_Atmosphere
95,95,brand_title_Auchan
96,96,brand_title_Autograph
97,97,brand_title_Avec
98,98,brand_title_B burns
99,99,brand_title_B&C
100,100,brand_title_B.P.C
101,101,brand_title_BUGER
102,102,brand_title_BZB
103,103,brand_title_Ba&sh
104,104,brand_title_Balenciaga
105,105,brand_title_Balibaris
106,106,brand_title_Balmain
107,107,brand_title_Barleycorn
108,108,brand_title_Baron Filou
109,109,brand_title_Bayard
110,110,brand_title_Bel&Bo
111,111,brand_title_Bellerose
112,112,brand_title_Belstaff
113,113,brand_title_Bergère de France
114,114,brand_title_Bershka
115,115,brand_title_Best Company
116,116,brand_title_Bianca
117,117,brand_title_Billabong
118,118,brand_title_Black Bananas
119,119,brand_title_Blancheporte
120,120,brand_title_Blauer
121,121,brand_title_Blue Banana
122,122,brand_title_Blueberry
123,123,brand_title_Bobbies
124,124,brand_title_Boden
125,125,brand_title_Boland
126,126,brand_title_Bolt
127,127,brand_title_Bonobo
128,128,brand_title_Bordeaux
129,129,brand_title_Boss
130,130,brand_title_Boutique Parisienne
131,131,brand_title_Brandy Melville
132,132,brand_title_Brice
133,133,brand_title_BrimeStone
134,134,brand_title_Brooks
135,135,brand_title_Buddha to Buddha
136,136,brand_title_Bultaco
137,137,brand_title_Burberry
138,138,brand_title_Burton
139,139,brand_title_C&A
140,140,brand_title_C'Mélodie
141,141,brand_title_C.P. Company
142,142,brand_title_CALINCA
143,143,brand_title_CHAPS
144,144,brand_title_COMME des FUCKDOWN®
145,145,brand_title_Cacharel
146,146,brand_title_Cache Cache
147,147,brand_title_Calliope
148,148,brand_title_Calvin Klein
149,149,brand_title_Calvin Klein Jeans
150,150,brand_title_Camaïeu
151,151,brand_title_Cambé
152,152,brand_title_Cannella
153,153,brand_title_Cargo
154,154,brand_title_Carhartt
155,155,brand_title_Carnet de Vol
156,156,brand_title_Carol
157,157,brand_title_Carrefour
158,158,brand_title_Cashmere
159,159,brand_title_Catch
160,160,brand_title_Catwalk Junkie
161,161,brand_title_Cecil
162,162,brand_title_Celebry Tees
163,163,brand_title_Celio
164,164,brand_title_Cerise Blue
165,165,brand_title_Cerruti
166,166,brand_title_Champion
167,167,brand_title_Cheap Monday
168,168,brand_title_Cherokee
169,169,brand_title_Christian Louboutin
170,170,brand_title_Chupa Chups
171,171,brand_title_Clark
172,172,brand_title_Clarks
173,173,brand_title_Clayton
174,174,brand_title_Coca-Cola
175,175,brand_title_Collusion
176,176,brand_title_Columbia
177,177,brand_title_Comeback
178,178,brand_title_Comme des Loups
179,179,brand_title_Comptoir des Cotonniers
180,180,brand_title_Converse
181,181,brand_title_Converse x Off-White
182,182,brand_title_CoolCat
183,183,brand_title_Corteiz
184,184,brand_title_Costes
185,185,brand_title_Cotone
186,186,brand_title_Cotton
187,187,brand_title_Cotton & Silk
188,188,brand_title_Cotton On
189,189,brand_title_Coveri
190,190,brand_title_Creeks
191,191,brand_title_Cristiano Gualtieri
192,192,brand_title_Crocs
193,193,brand_title_Cruyff
194,194,brand_title_Cuisse de Grenouille
195,195,brand_title_Cuplé
196,196,brand_title_Custo Barcelona
197,197,brand_title_Cyrillus
198,198,brand_title_Céline
199,199,brand_title_DATCH
200,200,brand_title_DC
201,201,brand_title_DC Shoes
202,202,brand_title_Daily paper
203,203,brand_title_Damart
204,204,brand_title_Dansaert Blue
205,205,brand_title_Decathlon
206,206,brand_title_Deeluxe
207,207,brand_title_Defacto
208,208,brand_title_Demon Slayer
209,209,brand_title_Denimwear
210,210,brand_title_Depary
211,211,brand_title_Desigual
212,212,brand_title_Devred
213,213,brand_title_Diadora
214,214,brand_title_Dickies
215,215,brand_title_Diesel
216,216,brand_title_Dime
217,217,brand_title_Disney
218,218,brand_title_Dolce
219,219,brand_title_Dolce & Gabbana
220,220,brand_title_Dolce Bella
221,221,brand_title_Don't Call Me Jennyfer
222,222,brand_title_Donna
