,Labels,Decoded
0,0,size_title_
1,1,size_title_37 cm
2,2,size_title_38
3,3,size_title_38 cm
4,4,"size_title_38,5"
5,5,size_title_39
6,6,"size_title_39,5"
7,7,size_title_40
8,8,size_title_40 cm
9,9,"size_title_40,5"
10,10,size_title_41
11,11,size_title_41 cm
12,12,"size_title_41,5"
13,13,size_title_42
14,14,size_title_42 cm
15,15,"size_title_42,5"
16,16,size_title_43
17,17,size_title_43 cm
18,18,"size_title_43,5"
19,19,size_title_44
20,20,"size_title_44,5"
21,21,size_title_45
22,22,"size_title_45,5"
23,23,size_title_46
24,24,"size_title_46,5"
25,25,size_title_47
26,26,"size_title_47,5"
27,27,size_title_48
28,28,"size_title_48,5"
29,29,size_title_4XL
30,30,size_title_4XL / 48 / 20
31,31,size_title_5XL
32,32,size_title_5XL / 50 / 22
33,33,size_title_6XL
34,34,size_title_7XL / 54 / 26
35,35,size_title_L
36,36,size_title_M
37,37,size_title_Outro
38,38,size_title_S
39,39,size_title_Tamanhonico
40,40,size_title_XL
41,41,size_title_XS
42,42,size_title_XXL
43,43,size_title_XXS
44,44,size_title_XXXL
45,45,status
46,46,brand_title_
47,47,brand_title_*Save the Queen!*
48,48,brand_title_123
49,49,brand_title_2Star
50,50,brand_title_80ignoranza
51,51,brand_title_8e avenue
52,52,brand_title_A Bathing Ape (BAPE)
53,53,brand_title_A Fish Named Fred
54,54,brand_title_ALIX The Label
55,55,brand_title_AM Shoe Company
56,56,brand_title_AMI
57,57,brand_title_ARMISTICE
58,58,brand_title_ASOS
59,59,brand_title_ASOS Design
60,60,brand_title_Abercrombie & Fitch
61,61,brand_title_Acne Studios
62,62,brand_title_Adolfo Dominguez
63,63,brand_title_Aeronautica Militare
64,64,brand_title_Affaire de famille
65,65,brand_title_Afibel
66,66,brand_title_Aigle
67,67,brand_title_Air Force
68,68,brand_title_Airness
69,69,brand_title_Akiro'
70,70,brand_title_Alain Manoukian
71,71,brand_title_Alcott
72,72,brand_title_Alkpote
73,73,brand_title_AllSaints
74,74,brand_title_Alpinestars
75,75,brand_title_Altra
76,76,brand_title_Alvaro Moreno
77,77,brand_title_America Today
78,78,brand_title_Ami Paris
79,79,brand_title_Amiri
80,80,brand_title_Amisu
81,81,brand_title_Amy Gee
82,82,brand_title_Anerkjendt
83,83,brand_title_Angelo Greco
84,84,brand_title_Angelo Litrico
85,85,brand_title_Anti Blue
86,86,brand_title_Anti Social Social Club
87,87,brand_title_Antony Morato
88,88,brand_title_Antwerp
89,89,brand_title_Aqua
90,90,brand_title_Arica Brand
91,91,brand_title_Armand Thierry
92,92,brand_title_Armand Thiery
93,93,brand_title_Armani Jeans
94,94,brand_title_Arte
95,95,brand_title_Artengo
96,96,brand_title_Asics
97,97,brand_title_At Company
98,98,brand_title_Atelier Regis
99,99,brand_title_Athliteon
100,100,brand_title_Atlas
101,101,brand_title_Atlas for Men
102,102,brand_title_Atmosphere
103,103,brand_title_Australian
104,104,brand_title_Autre Ton
105,105,brand_title_Autry
106,106,brand_title_Aventures Des Toiles
107,107,brand_title_Avnier
108,108,brand_title_Aéropostale
109,109,brand_title_B&C
110,110,brand_title_B&C Collection
111,111,brand_title_B.P.C
112,112,brand_title_BALSAMIK
113,113,brand_title_BURTON of London
114,114,brand_title_Ba&sh
115,115,brand_title_Bagoraz
116,116,brand_title_Ballin
117,117,brand_title_Ballon
118,118,brand_title_Balmain
119,119,brand_title_Banana Republic
120,120,brand_title_Bande Originale
121,121,brand_title_Bandshirt
122,122,brand_title_Barbour
123,123,brand_title_Basic One
124,124,brand_title_Batman
125,125,brand_title_Benchmark
126,126,brand_title_Benfica
127,127,brand_title_Benson & Cherry
128,128,brand_title_Bernardini maglificio
129,129,brand_title_Bershka
130,130,brand_title_Besson
131,131,brand_title_Bestard
132,132,brand_title_Betty Barclay
133,133,brand_title_Betty Boop
134,134,brand_title_Bexley
135,135,brand_title_Biaggini
136,136,brand_title_Bien Bleu
137,137,brand_title_Bikkembergs
138,138,brand_title_Billabong
139,139,brand_title_Birkenstock
140,140,brand_title_Bizzbee
141,141,brand_title_Björn Borg
142,142,brand_title_Blanc Bleu
143,143,brand_title_Blanc du Nil
